Автомобильная дорога;Местоположение остановочной площадки, км;Наименование;Расположение;Наличие павильона
Звенигово - Помары;1.378;Сады Дружбы;Слева;Есть
Звенигово - Помары;1.379;Сады Дружбы;Справа;Нет
Звенигово - Помары;1.733;Сады Дружбы;Слева;Есть
Звенигово - Помары;2.25;Дачи;Справа;Нет
Звенигово - Помары;2.293;Дачи;Слева;Нет
Звенигово - Помары;2.59;Сады Дружбы;Справа;Нет
Звенигово - Помары;2.637;Сады Дружбы;Слева;Есть
Звенигово - Помары;3.218;Дачи;Справа;Нет
Звенигово - Помары;3.296;Дачи;Слева;Нет
Звенигово - Помары;3.438;Сады Дружбы;Справа;Есть
Звенигово - Помары;13.869;Исменцы;Справа;Нет
Звенигово - Помары;13.917;Исменцы;Слева;Есть
Звенигово - Помары;19.355;Березники;Справа;Есть
Звенигово - Помары;19.415;Березники;Слева;Нет
Звенигово - Помары;21.63;Помары;Слева;Нет
Звенигово - Помары;21.672;Помары;Справа;Нет
Звенигово - Помары;22.186;;Слева;Нет
Звенигово - Помары;22.301;;Справа;Нет
Звенигово - Помары;23.17;;Слева;Нет
Звенигово - Помары;23.4;Торговый центр;Справа;Есть
Звенигово - Шелангер - Морки;1.507;Звенигово;Слева;Нет
Звенигово - Шелангер - Морки;1.577;Гаражи;Справа;Есть
Звенигово - Шелангер - Морки;2.166;Звенигово;Слева;Есть
Звенигово - Шелангер - Морки;3.657;Дубовая Роща;Справа;Есть
Звенигово - Шелангер - Морки;3.702;Дубовая Роща;Слева;Нет
Звенигово - Шелангер - Морки;4.673;Дачи;Справа;Нет
Звенигово - Шелангер - Морки;4.684;Дачи;Слева;Есть
Звенигово - Шелангер - Морки;6.508;Аркамбал;Слева;Есть
Звенигово - Шелангер - Морки;6.729;Аркамбал;Справа;Нет
Звенигово - Шелангер - Морки;7.669;Красный Яр;Слева;Есть
Звенигово - Шелангер - Морки;7.799;Красный Яр;Справа;Нет
Звенигово - Шелангер - Морки;8.701;М. Маламасы;Слева;Есть
Звенигово - Шелангер - Морки;8.944;М. Маламасы;Справа;Нет
Звенигово - Шелангер - Морки;11.549;Иркино;Слева;Нет
Звенигово - Шелангер - Морки;11.886;Иркино;Справа;Есть
Звенигово - Шелангер - Морки;13.28;Северный выселок;Слева;Есть
Звенигово - Шелангер - Морки;13.6;Северный выселок;Справа;Нет
Звенигово - Шелангер - Морки;15.165;;Слева;Нет
Звенигово - Шелангер - Морки;15.243;;Справа;Есть
Звенигово - Шелангер - Морки;16.593;В. Памьялы;Справа;Нет
Звенигово - Шелангер - Морки;16.924;В. Памьялы;Слева;Есть
Звенигово - Шелангер - Морки;18.166;;Слева;Есть
Звенигово - Шелангер - Морки;18.266;;Справа;Нет
Звенигово - Шелангер - Морки;20.344;Кужмара;Слева;Есть
Звенигово - Шелангер - Морки;20.603;Кужмара;Справа;Есть
Звенигово - Шелангер - Морки;23.679;Поянсола;Слева;Есть
Звенигово - Шелангер - Морки;23.745;Поянсола;Справа;Нет
Звенигово - Шелангер - Морки;25.593;Нурда-Мучаш;Слева;Есть
Звенигово - Шелангер - Морки;25.647;Нурда-Мучаш;Справа;Нет
Звенигово - Шелангер - Морки;26.297;;Слева;Нет
Звенигово - Шелангер - Морки;26.355;;Справа;Нет
Звенигово - Шелангер - Морки;30.284;Нурда;Справа;Нет
Звенигово - Шелангер - Морки;30.362;Нурда;Слева;Есть
Звенигово - Шелангер - Морки;33.164;Шелангер;Слева;Есть
Звенигово - Шелангер - Морки;36.434;Химзавод;Справа;Есть
Звенигово - Шелангер - Морки;39.207;Шелангер;Справа;Есть
Звенигово - Шелангер - Морки;39.883;Анис-Сола ;Слева;Есть
Звенигово - Шелангер - Морки;42.454;Памаштур;Слева;Есть
Звенигово - Шелангер - Морки;54.163;Керебеляк;Слева;Есть
Звенигово - Шелангер - Морки;55.3;Суслонгер;Слева;Есть
Звенигово - Шелангер - Морки;56.509;Филиппсола;Слева;Есть
Звенигово - Шелангер - Морки;57.184;;Слева;Есть
Звенигово - Шелангер - Морки;67.141;Юрдур;Слева;Нет
Звенигово - Шелангер - Морки;67.19;Юрдур;Справа;Есть
Звенигово - Шелангер - Морки;69.755;Курыкюмал;Слева;Нет
Звенигово - Шелангер - Морки;70.3;Курыкюмал;Справа;Есть
Звенигово - Шелангер - Морки;71.85;Шереганово;Справа;Нет
Звенигово - Шелангер - Морки;71.315;Шереганово;Слева;Есть
Звенигово - Шелангер - Морки;74.11;Коркатово;Слева;Нет
Звенигово - Шелангер - Морки;74.83;Коркатово;Справа;Есть
Звенигово - Шелангер - Морки;78.801;Абдаево;Справа;Есть
Звенигово - Шелангер - Морки;78.835;Абдаево;Слева;Нет
Звенигово - Шелангер - Морки;81.7;Изи Шурга;Справа;Есть
Звенигово - Шелангер - Морки;81.779;Купсола;Слева;Нет
Звенигово - Шелангер - Морки;81.912;Купсола;Справа;Есть
Звенигово - Шелангер - Морки;84.332;Кугу Шали;Справа;Нет
Звенигово - Шелангер - Морки;84.388;Кугу Шали;Слева;Есть
Звенигово - Шелангер - Морки;87.193;Тыгыде Морко;Слева;Нет
Звенигово - Шелангер - Морки;87.396;Тыгыде Морко;Справа;Есть
Звенигово - Шелангер - Морки;91.63;Морки;Слева;Есть
Сернур - Новый Торъял;6.151;Мустаево;Слева;Есть
Сернур - Новый Торъял;6.183;Мустаево;Справа;Нет
Сернур - Новый Торъял;9.462;Шокшем;Справа;Нет
Сернур - Новый Торъял;9.515;Шокшем;Слева;Есть
Сернур - Новый Торъял;15.934;Старокрещено;Слева;Нет
Сернур - Новый Торъял;15.978;Старокрещено;Справа;Есть
Сернур - Новый Торъял;17.572;Ошканер;Слева;Нет
Сернур - Новый Торъял;17.709;Ошканер;Справа;Есть
Одобеляк - Куженер - Параньга;2.111;Бол. Царанур;Слева;Нет
Одобеляк - Куженер - Параньга;15.252;Памашнур;Слева;Есть
Одобеляк - Куженер - Параньга;15.277;Памашнур;Справа;Нет
